16:35:33.465 -> Raw sensor readings from photoresistor
16:35:58.843 -> Photoresistor Raw Output = 888
16:35:58.883 -> Photoresistor Raw Output = 889
16:35:58.923 -> Photoresistor Raw Output = 888
16:35:58.963 -> Photoresistor Raw Output = 882
16:35:59.043 -> Photoresistor Raw Output = 877
16:35:59.083 -> Photoresistor Raw Output = 874
16:35:59.123 -> Photoresistor Raw Output = 871
16:35:59.163 -> Photoresistor Raw Output = 863
16:35:59.244 -> Photoresistor Raw Output = 857
16:35:59.284 -> Photoresistor Raw Output = 854
16:35:59.324 -> Photoresistor Raw Output = 851
16:35:59.364 -> Photoresistor Raw Output = 846
16:35:59.444 -> Photoresistor Raw Output = 838
16:35:59.484 -> Photoresistor Raw Output = 838
16:35:59.524 -> Photoresistor Raw Output = 843
16:35:59.564 -> Photoresistor Raw Output = 852
16:35:59.644 -> Photoresistor Raw Output = 855
16:35:59.684 -> Photoresistor Raw Output = 852
16:35:59.724 -> Photoresistor Raw Output = 851
16:35:59.764 -> Photoresistor Raw Output = 851
16:35:59.839 -> Photoresistor Raw Output = 854
16:35:59.879 -> Photoresistor Raw Output = 869
16:35:59.919 -> Photoresistor Raw Output = 887
16:35:59.999 -> Photoresistor Raw Output = 891
16:36:00.039 -> Photoresistor Raw Output = 894
16:36:00.079 -> Photoresistor Raw Output = 897
16:36:00.119 -> Photoresistor Raw Output = 902
16:36:00.199 -> Photoresistor Raw Output = 910
16:36:00.239 -> Photoresistor Raw Output = 915
16:36:00.279 -> Photoresistor Raw Output = 913
16:36:00.359 -> Photoresistor Raw Output = 911
16:36:00.399 -> Photoresistor Raw Output = 912
16:36:00.439 -> Photoresistor Raw Output = 913
16:36:00.479 -> Photoresistor Raw Output = 915
16:36:00.559 -> Photoresistor Raw Output = 920
16:36:00.599 -> Photoresistor Raw Output = 921
16:36:00.639 -> Photoresistor Raw Output = 921
16:36:00.679 -> Photoresistor Raw Output = 921
16:36:00.759 -> Photoresistor Raw Output = 925
16:36:00.799 -> Photoresistor Raw Output = 926
16:36:00.839 -> Photoresistor Raw Output = 924
16:36:00.879 -> Photoresistor Raw Output = 922
16:36:00.959 -> Photoresistor Raw Output = 918
16:36:00.999 -> Photoresistor Raw Output = 923
16:36:01.039 -> Photoresistor Raw Output = 932
16:36:01.079 -> Photoresistor Raw Output = 941
16:36:01.159 -> Photoresistor Raw Output = 946
16:36:01.199 -> Photoresistor Raw Output = 947
16:36:01.239 -> Photoresistor Raw Output = 945
16:36:01.279 -> Photoresistor Raw Output = 945
16:36:01.359 -> Photoresistor Raw Output = 952
16:36:01.399 -> Photoresistor Raw Output = 960
16:36:01.439 -> Photoresistor Raw Output = 968
16:36:01.519 -> Photoresistor Raw Output = 972
16:36:01.559 -> Photoresistor Raw Output = 972
16:36:01.599 -> Photoresistor Raw Output = 969
16:36:01.639 -> Photoresistor Raw Output = 969
16:36:01.719 -> Photoresistor Raw Output = 969
16:36:01.759 -> Photoresistor Raw Output = 969
16:36:01.794 -> Photoresistor Raw Output = 968
16:36:01.834 -> Photoresistor Raw Output = 967
16:36:01.914 -> Photoresistor Raw Output = 966
16:36:01.954 -> Photoresistor Raw Output = 965
16:36:01.994 -> Photoresistor Raw Output = 966
16:36:02.074 -> Photoresistor Raw Output = 966
16:36:02.114 -> Photoresistor Raw Output = 966
16:36:02.154 -> Photoresistor Raw Output = 967
16:36:02.194 -> Photoresistor Raw Output = 969
16:36:02.274 -> Photoresistor Raw Output = 970
16:36:02.314 -> Photoresistor Raw Output = 971
16:36:02.354 -> Photoresistor Raw Output = 972
16:36:02.394 -> Photoresistor Raw Output = 974
16:36:02.474 -> Photoresistor Raw Output = 976
16:36:02.514 -> Photoresistor Raw Output = 978
16:36:02.554 -> Photoresistor Raw Output = 979
